### Footprint positions - created on 2026-08-09T12:16:29 ###
### Printed by KiCad version 10.0.5
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val              Package                PosX       PosY       Rot  Side
ANT1      2450AT18A100     Block_SMD_10x10      1.5748    -1.5748    0.0000  top
BT1       LiPo_80to250mAh  Block_SMD_10x10      1.1024    -1.5748    0.0000  top
U         FuncBlock        Block_SMD_10x10      0.6299    -0.6299    0.0000  top
U1        nRF52840-QIAA-R  Block_SMD_10x10      1.1024    -0.6299    0.0000  top
U2        BMI270           Block_SMD_10x10      1.5748    -0.6299    0.0000  top
U3        IQS7222A         Block_SMD_10x10      2.0472    -0.6299    0.0000  top
U4        DWM3001C         Block_SMD_10x10      2.5197    -0.6299    0.0000  top
U5        BHI360           Block_SMD_10x10      0.6299    -1.1024    0.0000  top
U6        BMM350           Block_SMD_10x10      1.1024    -1.1024    0.0000  top
U7        SE050C1HQ1       Block_SMD_10x10      1.5748    -1.1024    0.0000  top
U8        DRV2605LDGSR     Block_SMD_10x10      2.0472    -1.1024    0.0000  top
U9        npm1300-CAAA-R   Block_SMD_10x10      2.5197    -1.1024    0.0000  top
U10       TLV75533PDBVR    Block_SMD_10x10      0.6299    -1.5748    0.0000  top
## End
