### Footprint positions - created on 2026-08-09T12:16:20 ###
### Printed by KiCad version 10.0.5
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val                     Package                PosX       PosY       Rot  Side
BT1       4S1P_60Wh               Block_SMD_10x10      0.7087    -1.3386    0.0000  top
JCOM1     COM-HPC-Mini-Connector  Block_SMD_10x10      1.9685    -0.7087    0.0000  top
J_EDP     eDP_14_5_panel          Block_SMD_10x10      7.6378    -0.7087    0.0000  top
J_USB4    USB4_TypeC_x2           Block_SMD_10x10      8.2677    -0.7087    0.0000  top
SSD1      NVMe_512GB              Block_SMD_10x10     10.1575    -0.7087    0.0000  top
U         FuncBlock               Block_SMD_10x10      0.7087    -0.7087    0.0000  top
UCOM1     COM-HPC-mMTL-155H-32G   Block_SMD_10x10      1.3386    -0.7087    0.0000  top
U_3V3     TPS62864YCPR            Block_SMD_10x10      9.5276    -0.7087    0.0000  top
U_5V      TPS51396AJYYR           Block_SMD_10x10      8.8976    -0.7087    0.0000  top
U_AUD     ALC256                  Block_SMD_10x10      7.0079    -0.7087    0.0000  top
U_CHG     BQ25792RQMR             Block_SMD_10x10      3.8583    -0.7087    0.0000  top
U_EC      ITE5570-or-NPCX9        Block_SMD_10x10      2.5984    -0.7087    0.0000  top
U_FG      BQ40Z50-R2              Block_SMD_10x10      4.4882    -0.7087    0.0000  top
U_PD      TPS65994ADFBRQ1         Block_SMD_10x10      3.2283    -0.7087    0.0000  top
U_TPM     SLB9672XQ2.0            Block_SMD_10x10      6.3780    -0.7087    0.0000  top
U_WIFI    BE200                   Block_SMD_10x10      5.1181    -0.7087    0.0000  top
U_WWAN    RM520N-GL               Block_SMD_10x10      5.7480    -0.7087    0.0000  top
## End
