item_id,preferred_mpn,alternate_mpn,alternate_mpn_2,avl_status,reason
MCU001,Core Ultra 7 155H,Ryzen AI 9 HX 370,,AVL_PENDING,ADR-FP-001 alternate compute
WIFI001,BE200,AX211,RZ616,AVL_CANDIDATE,Wi-Fi 6E cost-down
WWAN001,RM520N-GL,RM500Q-GL,EM120K-GL,AVL_CANDIDATE,ADR-FP-005 path
PD001,TPS65994ADFBRQ1,CYPD6227-96LQXIT,TPS65987DDHR,AVL_CANDIDATE,PD silicon AVL
CHG001,BQ25792RQMR,BQ25798,ISL9238,AVL_CANDIDATE,NVDC charger
VCORE001,MP2978A,TPS536C7,ISL6269A,AVL_PENDING,IMVP9 controller class
V5SYS001,TPS51396AJYYR,TPS62175,MP2145,AVL_CANDIDATE,5V buck
BUCK33,TPS62864YCPR,TPS62135,TLV62084,AVL_CANDIDATE,3V3/1V8
LDO33,TLV75533PDRVR,TLV70033,NCP167AMX330TBG,AVL_CANDIDATE,always-on 3V3
LDO18,TLV75518PDRVR,TLV70018,NCP167AMX180TBG,AVL_CANDIDATE,always-on 1V8
GAUGE001,BQ40Z50-R2,BQ40Z80,,AVL_CANDIDATE,SBS gauge
SSD001,PC801 512GB,WD SN740 512GB,Samsung PM9C1a 512GB,AVL_CANDIDATE,NVMe
DISP001,14.5in_2880x1800_eDP,BOE NV145WUM-N61 class,AUO B145EAN class,AVL_PENDING,ADR-FP-007
