### Footprint positions - created on 2026-08-09T15:51:03 ###
### Printed by KiCad version 10.0.5
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val                 Package                           PosX       PosY       Rot  Side
C1        CL05A104KA5NNNC     C_0402                          5.4331    -1.7323    0.0000  top
C2        GRM188R60J106ME47D  C_0402                          1.6535    -2.6772    0.0000  top
D1        APTD1608LCGCK       LED_0603                        4.4882    -2.6772    0.0000  top
DESD1     PESD5V0S1UL         DFN1006-2                       5.4331    -2.6772    0.0000  top
JUSB1     TYPE-C-31-M-12      USB_C_Receptacle_Production     1.6535    -1.7323    0.0000  top
JUSB2     TYPE-C-31-M-12      USB_C_Receptacle_Production     5.4331    -3.6220    0.0000  top
R1        RC0402FR-0710KL     R_0402                          2.5984    -2.6772    0.0000  top
R2        RC0402FR-071K0L     R_0402                          3.5433    -2.6772    0.0000  top
TP1       GND                 TestPoint_Pad                   1.6535    -4.5669    0.0000  top
TP2       VDD_3V3             TestPoint_Pad                   2.3622    -4.5669    0.0000  top
TP3       VBUS                TestPoint_Pad                   3.0709    -4.5669    0.0000  top
TP4       VSYS                TestPoint_Pad                   3.7795    -4.5669    0.0000  top
TP5       USB_DP              TestPoint_Pad                   4.4882    -4.5669    0.0000  top
TP6       USB_DM              TestPoint_Pad                   5.1969    -4.5669    0.0000  top
U3V3      TPS62864            QFN-16-1EP_3x3mm_P0.5mm         4.4882    -1.7323    0.0000  top
UCHG1     BQ25792RQMR         WQFN-29-1EP_4x4mm_P0.4mm        3.5433    -1.7323    0.0000  top
UETH1     RTL8156             QFN-48-1EP_6x6mm_P0.4mm         3.5433    -3.6220    0.0000  top
UHUB1     VL817               QFN-48-1EP_7x7mm_P0.5mm         4.4882    -3.6220    0.0000  top
UPD1      TPS65994ADFBRQ1     VQFN-48-1EP_7x7mm_P0.5mm        2.5984    -1.7323    0.0000  top
URET1     JHL9040R            JHL9040R_ROLE_envelope          2.5984    -3.6220    0.0000  top
UUSB4     JHL8440             JHL8440_ROLE_envelope           1.6535    -3.6220    0.0000  top
## End
