device,subsystem,manufacturer,MPN,description,qty,preferred_or_alternate,approved_alternative,status,notes,datasheet_or_docs
DS-XL Coder,COM_MODULE,ADLINK,COM-HPC-mMTL-155H-32G,Shared Student COM-HPC Mini Ultra 7 155H + 32GB,1,preferred,COM-HPC-mMTL-155H-64G,FROZEN_EXACT_MPN,ADR-HW-001 shared compute,https://docs.ipi.wiki/com-hpc/mini-type-meteor-lake/ModuleIntroduction.html
DS-XL Coder,CarrierPCB,gunnchOS3k,ds_xl_coder_carrier,Dual-eDP carrier PCB,1,preferred,,DESIGN_PENDING_CLI,,
DS-XL Coder,COM_Connector,TE/Samtec class,COM-HPC Mini 400-pin connector set,Same as Student,1,preferred,,AVL_PENDING,,
DS-XL Coder,DisplayUpper,BOE/AUO,13_14_2560x1600_eDP,Upper touch panel,1,preferred,,AVL_PENDING,,
DS-XL Coder,DisplayLower,BOE/AUO,13_14_1920x1200_eDP,Lower touch panel,1,preferred,,AVL_PENDING,Second display ICD,
DS-XL Coder,eDPBridge,Lontium,LT8711UX,Optional DP→eDP if single eDP from COM,1,alternate,Parade PS8625 class,FOOTPRINT_OPTIONAL,,
DS-XL Coder,WiFi,Intel,BE200,Wi-Fi 7,1,preferred,AX211,FROZEN_BASELINE,,
DS-XL Coder,WWAN,Quectel,RM520N-GL,5G NR Sub-6,1,preferred,RM500Q-GL,FROZEN_EXACT_MPN,NOT 6G; NO NTN,https://www.quectel.com/product/5g-rm520n-series/
DS-XL Coder,PD,Texas Instruments,TPS65994ADFBRQ1,PD,1,preferred,CYPD6227,FROZEN_BASELINE,,
DS-XL Coder,Charger,Texas Instruments,BQ25792RQMR,Charger,1,preferred,BQ25798,FROZEN_BASELINE,,
DS-XL Coder,FuelGauge,Texas Instruments,BQ40Z50-R2,Gauge,1,preferred,BQ40Z80,FROZEN_BASELINE,,
DS-XL Coder,NVMe,OEM,512GB_PCIe4,Storage,1,preferred,,FROZEN_BASELINE,,
DS-XL Coder,Battery,OEM,4S1P-60Wh,Pack,1,preferred,,FROZEN_BASELINE,MODELED,
DS-XL Coder,Heatspreader,ADLINK,HTS-mMTL-B,COM heatspreader,1,preferred,THSF-mMTL-B,AVL_PENDING,,
