pin,signal,soc,group,funcs,evidence,source
1,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
2,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
3,MIPI_CSI0_RX_D0N,AL41,CAMERA,MIPI_CSI0_D0N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
4,MIPI_CSI0_RX_D2N,AT42,CAMERA,MIPI_CSI0_D2N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
5,MIPI_CSI0_RX_D0P,AL42,CAMERA,MIPI_CSI0_D0P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
6,MIPI_CSI0_RX_D2P,AT41,CAMERA,MIPI_CSI0_D2P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
7,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
8,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
9,MIPI_CSI0_RX_CLK0N,AN41,CAMERA,MIPI_CSI0_CLK0N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
10,MIPI_CSI0_RX_CLK1N,AU42,CAMERA,MIPI_CSI0_CLK1N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
11,MIPI_CSI0_RX_CLK0P,AN42,CAMERA,MIPI_CSI0_CLK0P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
12,MIPI_CSI0_RX_CLK1P,AU41,CAMERA,MIPI_CSI0_CLK1P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
13,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
14,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
15,MIPI_CSI0_RX_D1N,AK42,CAMERA,MIPI_CSI0_D1N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
