device,subsystem,manufacturer,MPN,description,qty,preferred_or_alternate,approved_alternative,status,notes,datasheet_or_docs
Handheld Hybrid,SoM,Radxa,RM121-D8E32,Radxa NX5 RK3588S 8GB LPDDR4X + 32GB eMMC SODIMM,1,preferred,RM121-D8E16,FROZEN_EXACT_MPN,ADR-HW-001 — not bare RK3588S BGA; lifecycle ≥2033 per brief,https://dl.radxa.com/nx5/radxa_nx5_product_brief.pdf
Handheld Hybrid,SoM_alt,Radxa,RM121-D8E16,NX5 8GB + 16GB eMMC,1,alternate,RM121-D8E8,APPROVED_ALTERNATE,Official brief table,,
Handheld Hybrid,CarrierPCB,gunnchOS3k,handheld_hybrid_carrier,Game carrier PCB,1,preferred,,DESIGN_PENDING_CLI,,
Handheld Hybrid,SODIMM_connector,TE/Amphenol,260-pin SODIMM socket,Matches NX5 260-pin edge,1,preferred,,AVL_PENDING,Pinout per Radxa NX5 pinout doc,
Handheld Hybrid,Display,OEM,7in_1080p_120Hz_IPS,7 inch touch panel,1,preferred,,AVL_PENDING,,
Handheld Hybrid,WiFiBT,Ampak,AP6275P,Wi-Fi 6E + BT 5.3 module,1,preferred,AIC8800D,FROZEN_BASELINE,,
Handheld Hybrid,WWAN_opt,Quectel,RM520N-GL,Optional 5G M.2,1,alternate,,FOOTPRINT_OPTIONAL,Thermal-gated; NOT 6G; NO NTN,https://www.quectel.com/product/5g-rm520n-series/
Handheld Hybrid,HID_MCU,STMicro,STM32F103C8T6,Gamepad HID MCU,1,preferred,nRF52840-QIAA-R,FROZEN_BASELINE,,
Handheld Hybrid,PD,Texas Instruments,TPS65987DDHRSHR,USB-C PD,1,preferred,IP2726 class,FROZEN_BASELINE,,
Handheld Hybrid,Charger,Texas Instruments,BQ25895RTWR,Single-cell pack charger class,1,preferred,BQ25792RQMR,FROZEN_BASELINE,topology-dependent,
Handheld Hybrid,FuelGauge,Texas Instruments,BQ27Z561YPHR,Fuel gauge,1,preferred,BQ27Z561YPHR,FROZEN_BASELINE,,
Handheld Hybrid,Battery,OEM,6000mAh_1S2P_or_2S,Game pack,1,preferred,,FROZEN_BASELINE,MODELED,
Handheld Hybrid,Sticks,ALPS,RKJXV122400D,Analog stick,2,preferred,,AVL_PENDING,,
Handheld Hybrid,Buttons,OEM,tactile_ABXY_LR_DPAD,Button set,1,preferred,,AVL_PENDING,,
Handheld Hybrid,SE,NXP,SE050C1HQ1,Secure element footprint,1,preferred,ATECC608B,FROZEN_BASELINE,,
