### Footprint positions - created on 2026-08-09T15:50:55 ###
### Printed by KiCad version 10.0.5
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val                 Package                           PosX       PosY       Rot  Side
C1        CL05A104KA5NNNC     C_0402                          5.4331    -1.7323    0.0000  top
C2        GRM188R60J106ME47D  C_0402                          6.3780    -1.7323    0.0000  top
D1        APTD1608LCGCK       LED_0603                        3.5433    -2.6772    0.0000  top
DESD1     PESD5V0S1UL         DFN1006-2                       4.4882    -2.6772    0.0000  top
JAUD1     AUDIO               DFN1006-2                       2.5984    -3.1890    0.0000  top
JBAT1     BATTERY             DFN1006-2                       3.5433    -3.5039    0.0000  top
JCAM1     CAMERA              FFC_40P_0.5mm                   3.5433    -3.1890    0.0000  top
JDBG1     DEBUG               DFN1006-2                       5.4331    -3.5039    0.0000  top
JDISP1    DISPLAY_MIPI        FFC_40P_0.5mm                   6.3780    -2.6772    0.0000  top
JFAN1     EC_FAN              DFN1006-2                       1.6535    -3.8189    0.0000  top
JGNSS1    GNSS                DFN1006-2                       1.6535    -3.5039    0.0000  top
JHAP1     HAPTICS             DFN1006-2                       6.3780    -3.5039    0.0000  top
JKEY1     KEYBOARD            DFN1006-2                       4.4882    -3.1890    0.0000  top
JSEC1     SECURITY            DFN1006-2                       4.4882    -3.5039    0.0000  top
JSOM1     SODIMM-260          SODIMM-260_DDR4_Socket          2.5984    -3.8189    0.0000  top
JTP1      TOUCH               DFN1006-2                       1.6535    -3.1890    0.0000  top
JTRK1     TRACKPAD            DFN1006-2                       5.4331    -3.1890    0.0000  top
JUSB1     TYPE-C-31-M-12      USB_C_Receptacle_Production     1.6535    -1.7323    0.0000  top
JWIFI1    WIFI                DFN1006-2                       2.5984    -3.5039    0.0000  top
JWWAN1    WWAN                DFN1006-2                       6.3780    -3.1890    0.0000  top
R1        RC0402FR-0710KL     R_0402                          1.6535    -2.6772    0.0000  top
R2        RC0402FR-071K0L     R_0402                          2.5984    -2.6772    0.0000  top
TP1       GND                 TestPoint_Pad                   1.6535    -4.1732    0.0000  top
TP2       VDD_3V3             TestPoint_Pad                   2.3622    -4.1732    0.0000  top
TP3       VBUS                TestPoint_Pad                   3.0709    -4.1732    0.0000  top
TP4       VSYS                TestPoint_Pad                   3.7795    -4.1732    0.0000  top
TP5       USB_DP              TestPoint_Pad                   4.4882    -4.1732    0.0000  top
TP6       USB_DM              TestPoint_Pad                   5.1969    -4.1732    0.0000  top
U3V3      TPS62864            QFN-16-1EP_3x3mm_P0.5mm         4.4882    -1.7323    0.0000  top
UCHG1     BQ25895RTWR         WQFN-24-1EP_4x4mm_P0.5mm        3.5433    -1.7323    0.0000  top
UHID1     STM32F103C8T6       LQFP-48_7x7mm_P0.5mm            5.4331    -2.6772    0.0000  top
UPD1      TPS65987DDHRSHR     VQFN-56-1EP_7x7mm_P0.4mm        2.5984    -1.7323    0.0000  top
## End
