device,subsystem,manufacturer,MPN,description,qty,preferred_or_alternate,approved_alternative,status,notes
Student 14.5,COM_MODULE,AVL_COM_VENDOR,COM-HPC-Mini-Ultra7-155H-32GB,COM-HPC Client Mini Core Ultra 7 155H class + 32GB LPDDR5x,1,preferred,COM-HPC-Mini-Ultra7-equiv,FROZEN_BASELINE_MODULE,ADR-HW-001 — not bare CPU BGA
Student 14.5,CarrierPCB,gunnchOS3k,student_14_5_carrier,Main carrier PCB,1,preferred,,DESIGN_PENDING_CLI,KiCad structure present
Student 14.5,WiFi,Intel,BE200,Wi-Fi 7 + BT M.2 Key E,1,preferred,AX211,FROZEN_BASELINE,
Student 14.5,WWAN,Quectel,RM520N-GL,5G NR Sub-6 M.2 3052,1,preferred,RM500Q-GL,FROZEN_BASELINE,NOT 6G
Student 14.5,TPM,Infineon,SLB9672XQ2.0,TPM 2.0 SPI,1,preferred,ST33HTPH2E28,FROZEN_BASELINE,
Student 14.5,PD,Texas Instruments,TPS65994ADFBRQ1,USB-C PD controller,1,preferred,CYPD6227-96LQXIT,FROZEN_BASELINE,
Student 14.5,Charger,Texas Instruments,BQ25792RQMR,NVDC buck-boost charger,1,preferred,BQ25798,FROZEN_BASELINE,
Student 14.5,FuelGauge,Texas Instruments,BQ40Z50-R2,SBS fuel gauge,1,preferred,BQ40Z80,FROZEN_BASELINE,
Student 14.5,Buck5V,Texas Instruments,TPS51396AJYYR,5V system buck,1,preferred,TPS62175,FROZEN_BASELINE,
Student 14.5,Buck3V3_1V8,Texas Instruments,TPS62864YCPR,3V3/1V8 bucks,2,preferred,TPS62135,FROZEN_BASELINE,
Student 14.5,LDO3V3,Texas Instruments,TLV75533PDRVR,Always-on 3V3,1,preferred,TLV70033,FROZEN_BASELINE,
Student 14.5,LDO1V8,Texas Instruments,TLV75518PDRVR,Always-on 1V8,1,preferred,TLV70018,FROZEN_BASELINE,
Student 14.5,EC,ITE/Nuvoton,ITE5570 or NPCX9 class,Embedded controller,1,preferred,ChromeEC-capable NPCX,AVL_PENDING,Carrier EC
Student 14.5,Audio,Realtek,ALC256,HDA/SOF codec class,1,preferred,ALC245,FROZEN_BASELINE,
Student 14.5,NVMe,Phison/OEM,PC801 512GB,PCIe4 2230/2280,1,preferred,WD SN740 512GB,FROZEN_BASELINE,
Student 14.5,Display,BOE/AUO,14.5in_2880x1800_eDP,14.5 IPS eDP touch,1,preferred,NV145WUM-N61 class,AVL_PENDING,OEM quote
Student 14.5,Battery,OEM pack,4S1P-60Wh-SMBus,Li-ion pack + protection,1,preferred,3S2P 56-72Wh,FROZEN_BASELINE,MODELED
Student 14.5,COM_Connector,Samtec/vendor,COM-HPC Mini connector set,Board-to-board per COM guide,1,preferred,,AVL_PENDING,Pinout from module DS
