device,subsystem,manufacturer,MPN,description,qty,preferred_or_alternate,approved_alternative,status,notes,datasheet_or_docs
Student 14.5,COM_MODULE,ADLINK,COM-HPC-mMTL-155H-32G,COM-HPC Mini Ultra 7 155H + 32GB LPDDR5x,1,preferred,COM-HPC-mMTL-155H-64G,FROZEN_EXACT_MPN,ADR-HW-001 — not bare CPU BGA; distributor SKU eg 1ACMK153,https://docs.ipi.wiki/com-hpc/mini-type-meteor-lake/ModuleIntroduction.html
Student 14.5,CarrierPCB,gunnchOS3k,student_14_5_carrier,Main carrier PCB,1,preferred,,DESIGN_PENDING_CLI,KiCad structure present,
Student 14.5,COM_Connector,TE/Samtec class,COM-HPC Mini 400-pin connector set,Board-to-board per COM-HPC Mini + ADLINK guide,1,preferred,,AVL_PENDING,Exact connector MPN from ADLINK carrier design guide / NDA pack,
Student 14.5,WiFi,Intel,BE200,Wi-Fi 7 + BT M.2 Key E,1,preferred,AX211,FROZEN_BASELINE,,
Student 14.5,WWAN,Quectel,RM520N-GL,5G NR Sub-6 M.2 3052,1,preferred,RM500Q-GL,FROZEN_EXACT_MPN,NOT 6G; NO NTN,https://www.quectel.com/product/5g-rm520n-series/
Student 14.5,TPM,Infineon,SLB9672XQ2.0,TPM 2.0 SPI,1,preferred,ST33HTPH2E28,FROZEN_BASELINE,,
Student 14.5,PD,Texas Instruments,TPS65994ADFBRQ1,USB-C PD controller,1,preferred,CYPD6227-96LQXIT,FROZEN_BASELINE,,
Student 14.5,Charger,Texas Instruments,BQ25792RQMR,NVDC buck-boost charger,1,preferred,BQ25798,FROZEN_BASELINE,,
Student 14.5,FuelGauge,Texas Instruments,BQ40Z50-R2,SBS fuel gauge,1,preferred,BQ40Z80,FROZEN_BASELINE,,
Student 14.5,Buck5V,Texas Instruments,TPS51396AJYYR,5V system buck,1,preferred,TPS62175,FROZEN_BASELINE,,
Student 14.5,Buck3V3_1V8,Texas Instruments,TPS62864YCPR,3V3/1V8 bucks,2,preferred,TPS62135,FROZEN_BASELINE,,
Student 14.5,LDO3V3,Texas Instruments,TLV75533PDRVR,Always-on 3V3,1,preferred,TLV70033,FROZEN_BASELINE,,
Student 14.5,LDO1V8,Texas Instruments,TLV75518PDRVR,Always-on 1V8,1,preferred,TLV70018,FROZEN_BASELINE,,
Student 14.5,EC,ITE Tech,ITE5570,Embedded controller preferred,1,preferred,Nuvoton NPCX9M3N,AVL_PENDING,Carrier EC ChromeEC-capable preferred,
Student 14.5,Audio,Realtek,ALC256,HDA/SOF codec class,1,preferred,ALC245,FROZEN_BASELINE,,
Student 14.5,NVMe,Phison/OEM,PC801 512GB,PCIe4 2230/2280,1,preferred,WD SN740 512GB,FROZEN_BASELINE,,
Student 14.5,Display,BOE/AUO,14.5in_2880x1800_eDP,14.5 IPS eDP touch,1,preferred,NV145WUM-N61 class,AVL_PENDING,OEM quote,
Student 14.5,Battery,OEM pack,4S1P-60Wh-SMBus,Li-ion pack + protection,1,preferred,3S2P 56-72Wh,FROZEN_BASELINE,MODELED,
Student 14.5,Heatspreader,ADLINK,HTS-mMTL-B,COM-HPC-mMTL heatspreader accessory,1,preferred,THSF-mMTL-B,AVL_PENDING,Thermal path for COM,
