mpn,package,pin_count,pitch_mm,body_mm,pad_mm,ep_mm,courtyard_mm,orientation,pin1,mechanical_source,footprint_source,model_3d_source,verification_method,boards,status
HRO TYPE-C-31-M-12,USB-C_Receptacle_16P_SMD,16,0.5,8.94x7.3,0.3x1.15,shield_tabs,10.5x9.0,horizontal_top_mount,A1_GND_left,HRO TYPE-C-31-M-12 datasheet / USB-IF Type-C,gunnchos_production:USB_C_Receptacle_Production,KiCad Connector_USB / vendor STEP AVL,datasheet_pad_table+IPC-7351_courtyard,all,PRODUCTION
TPS65987DDHRSHR,VQFN-56_RSH,56,0.4,7x7,0.2x0.75,4.1x4.1,7.8x7.8,pin1_NW_dot,1,TI TPS65987D datasheet RSH package,gunnchos_production:VQFN-56-1EP_7x7mm_P0.4mm,TI 3D CAD / KiCad Package_DFN_QFN,TI_land_pattern+JEDEC_MO-220,handheld_hybrid,PRODUCTION
TPS65994ADFBRQ1,VQFN-48_DFB,48,0.5,7x7,0.25x0.75,4.1x4.1,7.8x7.8,pin1_NW_dot,1,TI TPS65994A datasheet,gunnchos_production:VQFN-48-1EP_7x7mm_P0.5mm,TI 3D CAD,TI_land_pattern+JEDEC,student_14_5;ds_xl_coder;dock,PRODUCTION
BQ25895RTWR,WQFN-24_RTW,24,0.5,4x4,0.25x0.7,2.5x2.5,4.6x4.6,pin1_NW_dot,1,TI BQ25895 datasheet RTW,gunnchos_production:WQFN-24-1EP_4x4mm_P0.5mm,TI 3D CAD,TI_land_pattern,handheld_hybrid,PRODUCTION
BQ25792RQMR,WQFN-29_RQM,29,0.4,4x4,0.2x0.65,2.7x2.7,4.6x4.6,pin1_NW_dot,1,TI BQ25792 datasheet RQM,gunnchos_production:WQFN-29-1EP_4x4mm_P0.4mm,TI 3D CAD,TI_land_pattern,student_14_5;ds_xl_coder,PRODUCTION
TPS62864,QFN-9_or_WCSP,9,0.5,2.5x2.0,0.3x0.5,n/a_wcsp,3.0x2.5,pin1_mark,1,TI TPS62864 datasheet,gunnchos_production:QFN-16-1EP_3x3mm_P0.5mm,TI 3D CAD,TI_land_pattern,all,PRODUCTION
STM32F103C8T6,LQFP-48,48,0.5,7x7,0.3x1.2,none,9.2x9.2,pin1_bevel_NW,1,ST LQFP48 datasheet / JEDEC MS-026,gunnchos_production:LQFP-48_7x7mm_P0.5mm,ST / KiCad Package_QFP,JEDEC_MS-026+ST_land_pattern,handheld_hybrid,PRODUCTION
SODIMM-260,SODIMM-260_DDR4_Socket,260,0.5,67.6x4.0_socket,0.35x2.0,n/a,72x10,key_offset_standard,1,JEDEC MO-310 / Radxa NX5 mechanical + TE/Amphenol SODIMM-260,gunnchos_production:SODIMM-260_DDR4_Socket,KiCad Connector_PCBEdge SODIMM-260,JEDEC_MO-310+Radxa_NX5_mech,handheld_hybrid,PRODUCTION
nRF52840-QIAA-R,aQFN-73_7x7,73,0.5,7x7,0.25x0.4,3.5x3.5,7.8x7.8,pin1_NW_dot,1,Nordic nRF52840 PS aQFN73,gunnchos_production:Nordic_AQFN-73-1EP_7x7mm_P0.5mm,Nordic / KiCad Package_DFN_QFN,Nordic_land_pattern+JEDEC,edge_io_rings,PRODUCTION
npm1300-CAAA-R,WLCSP-36_CAAA,36,0.4,2.075x2.075,0.2_circle,n/a,2.6x2.6,A1_mark,A1,Nordic npm1300 datasheet CAAA WLCSP,gunnchos_production:WLCSP-36_2.1x2.1mm_P0.4mm,Nordic 3D,Nordic_land_pattern,edge_io_rings,PRODUCTION
