ref,role,manufacturer,mpn,package,voltage_v,current_ma,interfaces,availability_risk,why_selected,approved_alternative,datasheet_url,blocker_class
U1,MCU_SoC_BLE,Nordic Semiconductor,nRF52840-CKAA-R,WLCSP-aQFN-73 (3.544×3.607 mm),1.7–3.6 (VDD); IO 1.8/3.3,active TX +0 dBm ~4.8; System ON idle ~1.5; System OFF ~0.4 µA,"BLE 5.3/2.4 GHz radio, SWD, SPI/TWI/UART, GPIO, USB (unused on ring), QSPI",LOW — broadly stocked; WLCSP assembly requires fine-pitch SMT capability,Integrated BLE + Cortex-M4F + crypto accelerator minimizes ring BOM volume vs discrete radio; matches authenticated ring protocol crypto needs,nRF52840-QIAA-R (AQFN-73) if WLCSP assembly yield risk,https://docs.nordicsemi.com/bundle/ps_nrf52840/page/keyfeatures_html5.html,
U2,IMU_6AXIS,Bosch Sensortec,BMI270,LGA-14 (2.5×3.0×0.8 mm),1.71–3.6 VDD; VDDIO 1.2–3.6,typ 685 µA @ 100 Hz accel+gyro; suspend ~3 µA,I2C (primary ADDR 0x68) / SPI,LOW — high-volume wearable IMU,Wrist/finger gesture class IMU with FIFO and significant motion interrupt for low-power wake,ST LSM6DSOX (LGA-14) if BMI270 allocation risk,https://www.bosch-sensortec.com/products/motion-sensors/imus/bmi270/,
U3,HAPTIC_DRIVER,Texas Instruments,DRV2605LDGSR,VSSOP-10,2.0–5.2 V,idle ~0.5; LRA drive peaks depend on actuator (budget <80 mA avg),"I2C (ADDR 0x5A), PWM/ENA, rated for LRA/ERM",LOW,Library waveforms + auto-resonance LRA drive for ring haptic feedback path,DRV2604L (RAM waveforms) if custom haptic library required,https://www.ti.com/lit/ds/symlink/drv2605l.pdf,
U4,PMIC_CHARGER,Texas Instruments,BQ25100YFPR,DSBGA-6 (0.9×1.6 mm),VIN 3.5–6.45; VBAT charge 4.2,charge current programmable to 250 mA max (set 25–40 mA for 80 mAh cell),USB 5 V input via pogo/pads; status via CHG pin,MEDIUM — DSBGA fine pitch; alternate QFN charger preferred for hand-assembly EVT,Ultra-small Li-Ion linear charger sized for <100 mAh wearable cells,MCP73831T-2ACI/OT (SOT-23-5) for easier prototype assembly,https://www.ti.com/lit/ds/symlink/bq25100.pdf,
U5,BATTERY_PROTECTION,Ricoh Electronic Devices,R5540K001A-TR-F,DFN(PLP)1616-6,overcharge detect ~4.28 V; overdischarge ~2.8 V class (confirm exact suffix),protection FET path rated for small-cell discharge currents,series with LiPo +/− before charger/load,MEDIUM — confirm distributor stock for exact suffix; cell pack may include PCM,Dedicated 1-cell protection required before any body-worn powered prototype,Use pouch cell with integrated PCM (DW01A+FS8205A module) — preferred for EVT0 if discrete PCM layout risk,https://www.nisshinbo-microdevices.co.jp/en/products/category/power/battery-protection-ic/,
U6,LDO_3V3,Texas Instruments,TLV70033DSET,WSON-6 (1.5×1.5 mm),out 3.3 V ±2%; Vin 2–5.5,200 mA max; Iq ~30 µA,VBAT_SYS → 3V3 rail for SoC/IMU/haptic (SoC can also run direct from VBAT; LDO for IO consistency),LOW,Low Iq LDO for always-on 3V3 rail under body-worn thermal/efficiency constraints,TPS7A2033PDBVR (SOT-23-5) for easier hand rework,https://www.ti.com/lit/ds/symlink/tlv700.pdf,
BT1,BATTERY,GMB / PowerStream-class pouch (EVT candidate),GMB501215 (80 mAh LiPo pouch) — supplier quote required,Curved/flat pouch ~5.0×12×15 mm class,3.7 V nom; 4.2 V charge; 3.0 V cutoff,80 mAh capacity; continuous discharge ≤1C recommended,2-wire to PCM/charger; polarity keyed in mechanical cavity,HIGH — custom curve/pouch geometry needs supplier quote; UN38.3 paperwork pending purchase,Capacity class matches 50–100 mAh ring energy budget from research targets,PKCELL LP402025 70–100 mAh flat pouch for bench mule (not curved),https://www.powerstream.com/li-polymer-battery.htm,REQUIRES_SUPPLIER_QUOTE
ANT1,BLE_ANTENNA,Johanson Technology,2450AT18A100,chip antenna 3.2×1.6 mm,RF passive,n/a,50 Ω feed from nRF52840 ANT pin via pi-match (C_ANT/L_ANT/C_SHUNT),LOW,Proven 2.45 GHz chip antenna with documented keep-outs suitable for ring arc PCB,PCB inverted-F trace antenna (no MPN) if enclosure RF study favors it,https://www.johansontechnology.com/datasheets/2450AT18A100/2450AT18A100.pdf,
D1,ESD_USB_POGO,Nexperia,"PESD5V0S1UL,315",SOD882 (DFN1006-2),VRWM 5 V,n/a (clamping),across CHARGE_5V to GND at pogo input,LOW,Low-cap ESD for charge contact protection,TPD1E05U06DPYR,https://assets.nexperia.com/documents/data-sheet/PESD5V0S1UL.pdf,
D2,ESD_SWD,Nexperia,"PESD3V3S1UL,315",SOD882,VRWM 3.3 V,n/a,SWDIO line to GND,LOW,Protect debug pads used during factory/dev flash,TPD1E10B06DPYR,https://assets.nexperia.com/documents/data-sheet/PESD3V3S1UL.pdf,
J1,DEBUG_SWD,Tag-Connect,TC2030-CTX-NL footprint (cable TC2030-CTX),PCB pads only (no connector BOM for NL),3.3 V SWD,debug only,"SWDIO, SWDCLK, nRESET, VTref, GND",LOW for pads; cable is tooling,Zero-height debug for sealed ring; no receptacle volume,"0.05"" 5-pin header pogo fixture for EVT mule",https://www.tag-connect.com/product/tc2030-ctx-nl-6-pin-no-legs-cable-with-10-pin-micro-connector-for-use-with-cortex-processors,
J2,CHARGE_POGO,Mill-Max / custom fixture,Mill-Max 0900-0-15-20-75-14-11-0 (pogo pin) ×2 on cradle,Cradle-side pogo; ring has gold pads,5 V charge in / GND,≤40 mA charge set,"CHARGE_5V, GND pads on ring outer arc",MEDIUM — cradle mechanical alignment is EVT risk,No USB-C receptacle volume on ring; pogo cradle charging,Horizontal USB-C on bench mule board only,https://www.mill-max.com/engineering_spec_pdfs/0900.pdf,REQUIRES_PHYSICAL_FABRICATION
Y1,HFCLK_XTAL,Abracon,ABM8-32.000MHZ-B2-T,3.2×2.5 mm SMD crystal,n/a,n/a,XL1/XL2 of nRF52840,LOW,32 MHz HFCLK for BLE PHY timing,FA-128 32.0000MF10Z-K3,https://abracon.com/Resonators/ABM8.pdf,
Y2,LFCLK_XTAL,Abracon,ABS07-32.768KHZ-9-T,3.2×1.5 mm cylinder SMD,n/a,n/a,XL1/XL2 LF of nRF52840,LOW,32.768 kHz for RTC / low-power BLE sleep accuracy,FC-135R 32.7680KA-A3,https://abracon.com/Resonators/ABS07.pdf,
M1,LRA_ACTUATOR,Jinlong Machinery,C10-100 / equivalent 8–10 mm LRA (EVT quote),"coin LRA ≤10 mm diameter, ≤2.5 mm height",driven by DRV2605L (~1.8–2.0 Vrms class),peaks budgeted in haptic driver; avg << charge budget,2-wire to DRV2605L OUT+/OUT−,MEDIUM — exact thin LRA for ring cavity needs supplier dimensional confirm,Thin coin LRA fits ring cavity haptic pocket,Vybronics VLV101040A,https://www.vybronics.com/wp-content/uploads/2021/03/VLV101040A-datasheet.pdf,REQUIRES_SUPPLIER_QUOTE
