Ref,X_mm,Y_mm,Rotation_deg,Side,MPN
U1,8.000,5.000,0,Top,nRF52840-CKAA-R
U2,14.000,3.500,0,Top,BMI270
U3,18.000,6.500,90,Top,DRV2605LDGSR
U4,22.000,3.000,0,Top,BQ25100YFPR
U5,22.000,7.000,0,Top,R5540K001A-TR-F
U6,18.000,3.000,0,Top,TLV70033DSET
ANT1,3.000,5.000,0,Top,2450AT18A100
Y1,11.000,7.500,0,Top,ABM8-32.000MHZ-B2-T
Y2,11.000,2.500,0,Top,ABS07-32.768KHZ-9-T
D1,25.000,2.500,0,Top,"PESD5V0S1UL,315"
D2,6.000,8.000,0,Top,"PESD3V3S1UL,315"
M1,24.000,5.000,0,Bottom,C10-100 / equivalent 8–10 mm LRA (EVT quote)
J1,6.000,1.500,0,Top,TC2030-CTX-NL footprint (cable TC2030-CTX)
J2,26.500,5.000,0,Top,Mill-Max 0900-0-15-20-75-14-11-0 (pogo pin) ×2 on cradle
