interface,direction,owner,status,notes
DDR5,SoC↔DRAM,MAINLINE_CUSTOM,PENDING_VENDOR_TOPOLOGY,Do not freeze
USB4,SoC↔USB-C,MAINLINE_CUSTOM,PENDING_VENDOR_GUIDANCE,
PCIe Gen4,SoC↔NVMe/slots,MAINLINE_CUSTOM,PENDING_VENDOR_GUIDANCE,
eDP,SoC→panel,MAINLINE_CUSTOM,ARCH_INTENT,min one eDP
DDI/DP,SoC→DP,MAINLINE_CUSTOM,ARCH_INTENT,
SPI flash,SoC↔flash,MAINLINE_CUSTOM,PENDING_VENDOR,
EC UART/I2C,EC↔SoC,MAINLINE_CUSTOM,ARCH_INTENT,Zephyr EC
TPM,SoC↔TPM,MAINLINE_CUSTOM,ARCH_INTENT,TPM2 / fTPM where supported
Wi-Fi M.2,PCIe/CNVi class TBD,MAINLINE_CUSTOM,PENDING_VENDOR,
optional 5G M.2,PCIe/USB,MAINLINE_CUSTOM,OPTIONAL,FN990B40 class AVL preserved
JTAG/SWD/UART,debug,MAINLINE_CUSTOM,REQUIRED_ON_CPB0,debug-friendly
