signal,soc_pin_ball,mux_function,voltage_domain,direction,termination_pull,destination,source_document,unresolved
POR_B,UNRESOLVED_BALL,POR_B,NVCC_BBSM,IN,EXT_PU_TO_NVCC_BBSM,PMIC/reset logic,IMX95IEC special signals,True
ONOFF,UNRESOLVED_BALL,ONOFF,BBSM,BIDIR,per_datasheet,PWR_BTN/EC,IMX95IEC,True
PMIC_ON_REQ,UNRESOLVED_BALL,PMIC_ON_REQ,BBSM,OUT,—,PMIC,IMX95IEC power sequence,True
WDOG_ANY,UNRESOLVED_BALL,WDOG_ANY,—,OUT,—,PMIC cold reset,IMX95IEC,True
RTC_XTALI,UNRESOLVED_BALL,RTC_XTALI,VDD_ANA_1P8_class,IN,crystal,32.768 kHz xtal,IMX95IEC,True
RTC_XTALO,UNRESOLVED_BALL,RTC_XTALO,VDD_ANA_1P8_class,OUT,crystal,32.768 kHz xtal,IMX95IEC,True
LPDDR5_DQ[31:0],UNRESOLVED_BALL_GROUP,DDR_DATA,VDDQ_DDR/VDD2H_DDR,BIDIR,ODT_per_training,LPDDR5 device(s),IMX95IEC memory + UG10210 pending,True
LPDDR5_CA/CK/CS/CKE,UNRESOLVED_BALL_GROUP,DDR_CMD_CLK,DDR_IO,OUT,per_UG10210,LPDDR5,IMX95IEC + UG10210 pending,True
PCIE0_TX/RX,UNRESOLVED_BALL_GROUP,PCIE0,VDD_PCI_*,DIFF,AC_couple_ESD,M.2 NVMe,IMX95IEC connectivity,True
PCIE1_TX/RX,UNRESOLVED_BALL_GROUP,PCIE1,VDD_PCI_*,DIFF,AC_couple_ESD,M.2 Wi-Fi,IMX95IEC connectivity,True
USB3_SS,UNRESOLVED_BALL_GROUP,USB3_TC,VDD_USB_*,DIFF,ESD,USB-C SS mux,IMX95IEC,True
USB2_DP/DM,UNRESOLVED_BALL_GROUP,USB2,VDD_USB_*,BIDIR,ESD,USB-C / hub,IMX95IEC,True
ENET_1G_0,UNRESOLVED_BALL_GROUP,ENET_QoS,VDD_ETH_*,RGMII/SGMII_TBD,ESD,GbE PHY0,IMX95IEC,True
ENET_1G_1,UNRESOLVED_BALL_GROUP,ENET_QoS,VDD_ETH_*,RGMII/SGMII_TBD,ESD,GbE PHY1,IMX95IEC,True
ENET_10G,UNRESOLVED_BALL_GROUP,ENETC_10G,VDD_ETH_*,SERDES,ESD,optional 10GbE,IMX95IEC 19x19,True
MIPI_DSI,UNRESOLVED_BALL_GROUP,MIPI_DSI,VDD_MIPI_*,DIFF,—,display connector,IMX95IEC,True
MIPI_CSI,UNRESOLVED_BALL_GROUP,MIPI_CSI,VDD_MIPI_*,DIFF,—,camera connector,IMX95IEC,True
SAI/Audio,UNRESOLVED_BALL_GROUP,SAI,VDD_AUD_1P8,BIDIR,—,codec,IMX95IEC,True
USDHC_eMMC,UNRESOLVED_BALL_GROUP,uSDHC,NVCC_SD*,BIDIR,pulls_per_emmc,eMMC,IMX95IEC,True
FlexSPI_NOR,UNRESOLVED_BALL_GROUP,FlexSPI,NVCC_GPIO_1P8,BIDIR,pulls,SPI NOR boot,IMX95IEC,True
LPUART_console,UNRESOLVED_BALL,LPUART,NVCC_GPIO_1P8,BIDIR,—,debug UART / EC bridge,IMX95IEC,True
I2C_PMIC,UNRESOLVED_BALL,LPI2C,NVCC_GPIO_1P8,BIDIR,PU,PMIC,IMX95IEC,True
I2C_EC,UNRESOLVED_BALL,LPI2C,NVCC_GPIO_1P8,BIDIR,PU,EC,architecture,True
JTAG/SWD,UNRESOLVED_BALL_GROUP,JTAG,NVCC_GPIO_1P8,BIDIR,PU_per_RM,debug header,IMX95RM pending extract,True
BOOT_MODE,UNRESOLVED_BALL_GROUP,BOOT_MODE,NVCC_GPIO,IN,straps,dip/strap,IMX95RM pending extract,True
GPIO_board_id,UNRESOLVED_BALL_GROUP,GPIO,NVCC_GPIO_1P8,IN,PU/PD straps,board ID,architecture,True
