rail,nominal_v,classification,load,current_class,notes
DC_IN,12V_IN,DESIGN_TARGET,board_input,VERIFY_AT_BRINGUP,no measured draw
NVCC_BBSM_1P8,1.8,DATASHEET_CLASS,BBSM,DATASHEET_MAX_PENDING_EXTRACT,first/last rail
VDD_ARM,core,DATASHEET_CLASS,A55,DATASHEET_MAX_PENDING_EXTRACT,no invented mA
VDD_SOC,core,DATASHEET_CLASS,SoC,DATASHEET_MAX_PENDING_EXTRACT,
VDD2H_DDR,1.05_LPDDR5,DATASHEET_CLASS,DDR_IO,DATASHEET_MAX_PENDING_EXTRACT,IMX95IEC LPDDR5 class
VDDQ_DDR,0.5_LPDDR5,DATASHEET_CLASS,DDR_IO,DATASHEET_MAX_PENDING_EXTRACT,
VDD_USB_*,multi,DATASHEET_CLASS,USB_PHY,DATASHEET_MAX_PENDING_EXTRACT,
VDD_PCI_*,multi,DATASHEET_CLASS,PCIE_PHY,DATASHEET_MAX_PENDING_EXTRACT,
3V3_M2_NVME,3.3,DESIGN_TARGET,NVMe,CALCULATED_TBD,module-dependent
3V3_M2_WIFI,3.3,DESIGN_TARGET,Wi-Fi,CALCULATED_TBD,module-dependent
3V3_M2_5G,3.3,DESIGN_TARGET,optional_5G,CALCULATED_TBD,optional DNP
DISPLAY_PANEL,panel,DESIGN_TARGET,display,CALCULATED_TBD,panel-dependent
CAMERA,cam,DESIGN_TARGET,camera,CALCULATED_TBD,module-dependent
FAN,5_or_12,DESIGN_TARGET,thermal,CALCULATED_TBD,EC controlled
EC_3V3_AO,3.3,DESIGN_TARGET,EC,CALCULATED_TBD,always-on
