rail,source,nominal_voltage,load_class,current_estimate_source,enable_dependency,power_good_dependency,measurement_point,decoupling_class,simulation_measurement_status
NVCC_BBSM_1P8,PF09,1.8,BBSM,IMX95IEC_no_invented_amps,ALWAYS_ON_FIRST,N/A,TP_BBSM,HF,ANALYTICAL_ONLY
VDD_SOC,PF09_or_PF53,DATASHEET_CLASS,CORE,IMX95IEC_no_invented_amps,PMIC_ON_REQ,PG_SOC,TP_VDD_SOC,BULK_HF,ANALYTICAL_ONLY
VDD_ARM,PF53_CLASS,DATASHEET_CLASS,A55,IMX95IEC_no_invented_amps,PMIC_ON_REQ,PG_ARM,TP_VDD_ARM,BULK_HF,ANALYTICAL_ONLY
VDD_ANA_0P8,PF09,0.8,ANALOG,IMX95IEC_no_invented_amps,SEQ_0P8,N/A,TP_ANA08,HF,ANALYTICAL_ONLY
VDD_ANA_1P8,PF09,1.8,ANALOG,IMX95IEC_no_invented_amps,SEQ_1P8,N/A,TP_ANA18,HF,ANALYTICAL_ONLY
VDD_DDR_0P8,PF09,0.8,DDR_PHY,IMX95IEC_no_invented_amps,SEQ_0P8,N/A,TP_DDR08,HF,ANALYTICAL_ONLY
VDD2H_DDR,PF09,1.05_LPDDR5,DDR_IO,IMX95IEC,SEQ_DDR2H,N/A,TP_VDD2H,HF,ANALYTICAL_ONLY
VDDQ_DDR,PF09,0.5_LPDDR5,DDR_IO,IMX95IEC,SEQ_DDR2Q,N/A,TP_VDDQ,HF,ANALYTICAL_ONLY
NVCC_SD2,PF09,1.8_or_3.3,SD,IMX95IEC,SEQ_SD2,N/A,TP_SD2,HF,ANALYTICAL_ONLY
VDD_USB_3P3,PF09,3.3,USB,IMX95IEC,SEQ_3P3,N/A,TP_USB33,HF,ANALYTICAL_ONLY
