ball,primary_signal,alternate_functions,power_ground_domain_class,voltage_domain,cpb0_usage,destination_net,source_document,source_page_table,confidence,unresolved,unresolved_reason
A1,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
A3,LVDS1_D0_N,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS1_D0_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
A5,LVDS0_CLK_N,,MEDIA,VDD_LVDS_1P8,DISPLAY_CAMERA,LVDS0_CLK_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
A9,MIPI_DSICSI1_D2_N,,MEDIA,MIPI_DSICSI1_VPH,DISPLAY_CAMERA,MIPI_DSICSI1_D2_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
A13,MIPI_DSICSI1_D1_N,,MEDIA,MIPI_DSICSI1_VPH,DISPLAY_CAMERA,MIPI_DSICSI1_D1_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
A17,USB1_RX1_N,,USB,USB1_VP,USB_C_OR_USB2,USB1_RX1_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
A21,USB1_RX0_P,,USB,USB1_VP,USB_C_OR_USB2,USB1_RX0_P,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
A25,USB2_D_N,,USB,USB2_VDD33,USB_C_OR_USB2,USB2_D_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
A29,PCIE1_RX0_N,,PCIE,PCIE1_VP,NVME_M2,PCIE1_RX0_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
A33,PCIE2_REF_PAD_CLK_N,,PCIE,PCIE2_VP,WIFI_M2,PCIE2_REF_PAD_CLK_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
A37,ADC_IN0,SEE_IMX95_PINMUX_SHEET,IO,AVDD_1P8_ADC,GPIO_PERIPH_CANDIDATE,ADC_IN0,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
A41,ADC_IN4,SEE_IMX95_PINMUX_SHEET,IO,AVDD_1P8_ADC,GPIO_PERIPH_CANDIDATE,ADC_IN4,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
A45,ADC_IN7,SEE_IMX95_PINMUX_SHEET,IO,AVDD_1P8_ADC,GPIO_PERIPH_CANDIDATE,ADC_IN7,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
A49,RTC_XTALO,SEE_IMX95_PINMUX_SHEET,IO,NVCC_BBSM,GPIO_PERIPH_CANDIDATE,RTC_XTALO,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
A51,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA1,DRAM_RESET_N,,DDR,VDD2H_DDR,LPDDR5,DRAM_RESET_N,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA3,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA5,DRAM_CA6_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_CA6_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA7,DRAM_CA4_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_CA4_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA9,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA11,DRAM_CA5_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_CA5_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA13,VDDQ_DDR,,POWER,POWER,POWER,VDDQ_DDR,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
