REFDES,PIN_NUMBER,SYM_NAME,COMP_DEVICE_TYPE,PAD_STACK_NAME,PIN_X,PIN_Y,NET_NAME
BGA,A1,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-8925,8790.161,VSS
BGA,A3,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-8225,8790.161,LVDS1_D0_N
BGA,A5,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-7525,8790.161,LVDS0_CLK_N
BGA,A9,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-6125,8790.161,MIPI_DSICSI1_D2_N
BGA,A13,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-4725,8790.161,MIPI_DSICSI1_D1_N
BGA,A17,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-3325,8790.161,USB1_RX1_N
BGA,A21,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-1925,8790.161,USB1_RX0_P
BGA,A25,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-525,8790.161,USB2_D_N
BGA,A29,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,875,8790.161,PCIE1_RX0_N
BGA,A33,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,2275,8790.161,PCIE2_REF_PAD_CLK_N
BGA,A37,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,3675,8790.161,ADC_IN0
BGA,A41,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,5075,8790.161,ADC_IN4
BGA,A45,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,6475,8790.161,ADC_IN7
BGA,A49,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,7875,8790.161,RTC_XTALO
BGA,A51,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,8575,8790.161,VSS
BGA,AA1,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-8925,-3334.199,DRAM_RESET_N
BGA,AA3,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-8225,-3334.199,VSS
BGA,AA5,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-7525,-3334.199,DRAM_CA6_A
BGA,AA7,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-6825,-3334.199,DRAM_CA4_A
BGA,AA9,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-6125,-3334.199,VSS
BGA,AA11,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-5425,-3334.199,DRAM_CA5_A
BGA,AA13,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-4725,-3334.199,VDDQ_DDR
BGA,AA15,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-4025,-3334.199,VSS
BGA,AA17,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-3325,-3334.199,VDD_DDR_0P8
BGA,AA19,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-2625,-3334.199,VSS
BGA,AA21,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-1925,-3334.199,VDD_SOC
BGA,AA23,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-1225,-3334.199,VSS
BGA,AA25,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-525,-3334.199,VDD_SOC
BGA,AA27,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,175,-3334.199,VSS
BGA,AA29,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,875,-3334.199,VDD_SOC
BGA,AA31,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,1575,-3334.199,VSS
BGA,AA33,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,2275,-3334.199,VDD_SOC
BGA,AA35,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,2975,-3334.199,VSS
BGA,AA37,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,3675,-3334.199,VDD_SOC
BGA,AA39,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,4375,-3334.199,VSS
BGA,AA41,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,5075,-3334.199,VDD_ANAVDET_1P8
BGA,AA43,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,5775,-3334.199,VSS
BGA,AA45,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,6475,-3334.199,AUD_AUX
BGA,AA47,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,7175,-3334.199,VSS
BGA,AA49,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,7875,-3334.199,SD2_DATA3
BGA,AA51,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,8575,-3334.199,SD2_DATA2
BGA,AB2,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-8575,-3940.417,DRAM_CA3_A
BGA,AB4,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-7875,-3940.417,DRAM_LP4CKE_LP5CS1_A
BGA,AB6,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-7175,-3940.417,VSS
BGA,AB8,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-6475,-3940.417,DRAM_WCK0_T_A
BGA,AB10,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-5775,-3940.417,DRAM_CA2_A
BGA,AB12,UNNAMED_BGA,UNNAMED_BGA,BGA_450_350,-5075,-3940.417,VDDQ_DDR
