pkg_15x15,pkg_19x19,pad_type,pad_name,power_group,status_reset_asserted,status_reset_deasserted
X,X,ANALOG,RTC_XTALI,NVCC_BBSM,,
X,X,ANALOG,RTC_XTALO,NVCC_BBSM,,
X,X,GPIO,PMIC_STBY_REQ,NVCC_BBSM,output low w/o PU/PD,no change
X,X,GPIO,PMIC_ON_REQ,NVCC_BBSM,output high w/o PU/PD,no change
X,X,GPIO,ONOFF,NVCC_BBSM,input w/o PU/PD,no change
X,X,GPIO,POR_B,NVCC_BBSM,input w/o PU/PD,no change
X,X,GPIO,TAMPER0,NVCC_BBSM,input w/ PD,no change
X,X,GPIO,TAMPER1,NVCC_BBSM,input w/ PD,no change
X,X,GPIO,GPIO_IO00,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO01,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO02,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO03,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO04,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO05,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO06,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO07,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO08,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO09,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO10,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO11,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO12,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO13,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO14,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO15,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO16,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO17,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO18,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO19,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO20,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO21,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO22,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO23,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO24,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO25,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO26,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO27,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO28,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO29,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO30,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO31,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO32,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO33,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,GPIO_IO34,NVCC_GPIO,input w/ PD,no change
,X,GPIO,GPIO_IO35,NVCC_GPIO,input w/ PD,no change
,X,GPIO,GPIO_IO36,NVCC_GPIO,input w/ PD,no change
,X,GPIO,GPIO_IO37,NVCC_GPIO,input w/ PD,no change
X,X,GPIO,CCM_CLKO1,NVCC_CCM_DAP,output low,no change
X,X,GPIO,CCM_CLKO2,NVCC_CCM_DAP,output low,no change
X,X,GPIO,CCM_CLKO3,NVCC_CCM_DAP,input w/ PD,no change
X,X,GPIO,CCM_CLKO4,NVCC_CCM_DAP,input w/ PD,no change
X,X,GPIO,DAP_TDI,NVCC_CCM_DAP,input w/ PU,no change
X,X,GPIO,DAP_TMS_SWDIO,NVCC_CCM_DAP,input w/ PU,no change
X,X,GPIO,DAP_TCLK_SWCLK,NVCC_CCM_DAP,input w/ PD,no change
X,X,GPIO,DAP_TDO_TRACESWO,NVCC_CCM_DAP,input w/o PU/PD,no change
X,X,GPIO,ENET1_MDC,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET1_MDIO,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET1_TD3,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET1_TD2,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET1_TD1,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET1_TD0,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET1_TX_CTL,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET1_TXC,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET1_RX_CTL,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET1_RXC,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET1_RD0,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET1_RD1,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET1_RD2,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET1_RD3,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_MDC,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_MDIO,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_TD3,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_TD2,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_TD1,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_TD0,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_TX_CTL,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_TXC,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_RX_CTL,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_RXC,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_RD0,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_RD1,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_RD2,NVCC_ENET,input w/ PD,no change
X,X,GPIO,ENET2_RD3,NVCC_ENET,input w/ PD,no change
X,X,GPIO,SD1_CLK,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD1_CMD,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD1_DATA0,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD1_DATA1,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD1_DATA2,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD1_DATA3,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD1_DATA4,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD1_DATA5,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD1_DATA6,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD1_DATA7,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD1_STROBE,NVCC_WAKEUP,input w/ PD,"works as TESTER_ACK input while internal reset is asserted, after internal reset is deasserted,  it becomes input w/ PD"
X,X,GPIO,SD2_VSELECT,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD3_CLK,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD3_CMD,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD3_DATA0,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD3_DATA1,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD3_DATA2,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD3_DATA3,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,XSPI1_DATA0,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,XSPI1_DATA1,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,XSPI1_DATA2,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,XSPI1_DATA3,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,XSPI1_DATA4,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,XSPI1_DATA5,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,XSPI1_DATA6,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,XSPI1_DATA7,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,XSPI1_DQS,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,XSPI1_SCLK,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,XSPI1_SS0_B,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,XSPI1_SS1_B,NVCC_WAKEUP,input w/ PD,no change
X,X,GPIO,SD2_CD_B,NVCC_SD2,input w/ PD,no change
X,X,GPIO,SD2_CLK,NVCC_SD2,input w/ PD,no change
X,X,GPIO,SD2_CMD,NVCC_SD2,input w/ PD,no change
X,X,GPIO,SD2_DATA0,NVCC_SD2,input w/ PD,no change
X,X,GPIO,SD2_DATA1,NVCC_SD2,input w/ PD,no change
X,X,GPIO,SD2_DATA2,NVCC_SD2,input w/ PD,no change
X,X,GPIO,SD2_DATA3,NVCC_SD2,input w/ PD,no change
X,X,GPIO,SD2_RESET_B,NVCC_SD2,input w/ PD,no change
X,X,GPIO,I2C1_SCL,NVCC_AON,input w/ PD,no change
X,X,GPIO,I2C1_SDA,NVCC_AON,input w/ PD,no change
X,X,GPIO,I2C2_SCL,NVCC_AON,input w/ PD,no change
X,X,GPIO,I2C2_SDA,NVCC_AON,input w/ PD,no change
X,X,GPIO,UART1_RXD,NVCC_AON,input w/ PD,no change
X,X,GPIO,UART1_TXD,NVCC_AON,input w/ PD,no change
X,X,GPIO,UART2_RXD,NVCC_AON,input w/ PD,no change
X,X,GPIO,UART2_TXD,NVCC_AON,input w/ PD,no change
X,X,GPIO,PDM_CLK,NVCC_AON,input w/ PD,no change
X,X,GPIO,PDM_BIT_STREAM0,NVCC_AON,input w/ PD,no change
X,X,GPIO,PDM_BIT_STREAM1,NVCC_AON,input w/ PD,no change
X,X,GPIO,SAI1_TXFS,NVCC_AON,input w/ PD,no change
X,X,GPIO,SAI1_TXC,NVCC_AON,input w/ PD,no change
X,X,GPIO,SAI1_TXD0,NVCC_AON,input w/ PD,no change
X,X,GPIO,SAI1_RXD0,NVCC_AON,input w/ PD,no change
X,X,GPIO,WDOG_ANY,NVCC_AON,input w/ PU,no change
X,X,GPIO,FCCU_ERR0,NVCC_AON,input w/ PU,no change
X,X,ANALOG,CLKIN1,AVDD_1P8_ADC,input w/o PU/PD,no change
X,X,ANALOG,CLKIN2,AVDD_1P8_ADC,input w/o PU/PD,no change
X,X,ANALOG,XTALI_24M,TOP_XTAL_VDD18,,
X,X,ANALOG,XTALO_24M,TOP_XTAL_VDD18,,
X,X,ANALOG,ADC_IN0,AVDD_1P8_ADC,input w/o PU/PD,no change
X,X,ANALOG,ADC_IN1,AVDD_1P8_ADC,input w/o PU/PD,no change
X,X,ANALOG,ADC_IN2,AVDD_1P8_ADC,input w/o PU/PD,no change
X,X,ANALOG,ADC_IN3,AVDD_1P8_ADC,input w/o PU/PD,no change
X,X,ANALOG,ADC_IN4,AVDD_1P8_ADC,input w/o PU/PD,no change
X,X,ANALOG,ADC_IN5,AVDD_1P8_ADC,input w/o PU/PD,no change
X,X,ANALOG,ADC_IN6,AVDD_1P8_ADC,input w/o PU/PD,no change
X,X,ANALOG,ADC_IN7,AVDD_1P8_ADC,input w/o PU/PD,no change
X,X,PHY,USB1_D_N,USB1_VDD33,,
X,X,PHY,USB1_D_P,USB1_VDD33,,
X,X,PHY,USB1_DNU,Internal 1.8V,,
X,X,PHY,USB1_TXRTUNE,USB1_VDD33,,
X,X,PHY,USB1_VBUS,USB1_VDD33,,
X,X,PHY,USB1_RX0_N,USB1_VP,,
X,X,PHY,USB1_RX0_P,USB1_VP,,
X,X,PHY,USB1_TX0_N,USB1_VPTX0,,
X,X,PHY,USB1_TX0_P,USB1_VPTX0,,
X,X,PHY,USB1_RX1_N,USB1_VP,,
X,X,PHY,USB1_RX1_P,USB1_VP,,
X,X,PHY,USB1_TX1_N,USB1_VPTX1,,
X,X,PHY,USB1_TX1_P,USB1_VPTX1,,
X,X,PHY,USB2_D_N,USB2_VDD33,,
X,X,PHY,USB2_D_P,USB2_VDD33,,
X,X,PHY,USB2_ID,USB2_VDDH0,,
X,X,PHY,USB2_TXRTUNE,USB2_VDDH0,,
X,X,PHY,USB2_VBUS,USB2_VDD33,,
X,X,PHY,AUD_P_UTIL,VDD_EARC_1P8,,
X,X,PHY,AUD_N_HPD,VDD_EARC_1P8,,
X,X,PHY,AUD_AUX,VDD_EARC_1P8,,
,X,PHY,ETH_RX0_N,ETH_VP,,
,X,PHY,ETH_RX0_P,ETH_VP,,
,X,PHY,ETH_TX0_N,ETH_VPTX,,
,X,PHY,ETH_TX0_P,ETH_VPTX,,
,X,PHY,ETH_REF_PAD_CLK_N,ETH_VP,,
,X,PHY,ETH_REF_PAD_CLK_P,ETH_VP,,
,X,PHY,ETH_RESREF,ETH_VPH,,
X,X,PHY,LVDS0_D0_P,VDD_LVDS_1P8,,
X,X,PHY,LVDS0_D0_N,VDD_LVDS_1P8,,
X,X,PHY,LVDS0_D1_P,VDD_LVDS_1P8,,
X,X,PHY,LVDS0_D1_N,VDD_LVDS_1P8,,
X,X,PHY,LVDS0_D2_P,VDD_LVDS_1P8,,
X,X,PHY,LVDS0_D2_N,VDD_LVDS_1P8,,
X,X,PHY,LVDS0_D3_P,VDD_LVDS_1P8,,
X,X,PHY,LVDS0_D3_N,VDD_LVDS_1P8,,
X,X,PHY,LVDS0_CLK_P,VDD_LVDS_1P8,,
X,X,PHY,LVDS0_CLK_N,VDD_LVDS_1P8,,
X,X,PHY,LVDS1_D0_P,VDD_LVDS_1P8,,
X,X,PHY,LVDS1_D0_N,VDD_LVDS_1P8,,
X,X,PHY,LVDS1_D1_P,VDD_LVDS_1P8,,
X,X,PHY,LVDS1_D1_N,VDD_LVDS_1P8,,
X,X,PHY,LVDS1_D2_P,VDD_LVDS_1P8,,
X,X,PHY,LVDS1_D2_N,VDD_LVDS_1P8,,
X,X,PHY,LVDS1_D3_P,VDD_LVDS_1P8,,
X,X,PHY,LVDS1_D3_N,VDD_LVDS_1P8,,
X,X,PHY,LVDS1_CLK_P,VDD_LVDS_1P8,,
X,X,PHY,LVDS1_CLK_N,VDD_LVDS_1P8,,
X,X,PHY,MIPI_CSI1_CLK_N,MIPI_CSI1_VPH,,
X,X,PHY,MIPI_CSI1_CLK_P,MIPI_CSI1_VPH,,
X,X,PHY,MIPI_CSI1_D0_N,MIPI_CSI1_VPH,,
X,X,PHY,MIPI_CSI1_D0_P,MIPI_CSI1_VPH,,
X,X,PHY,MIPI_CSI1_D1_N,MIPI_CSI1_VPH,,
X,X,PHY,MIPI_CSI1_D1_P,MIPI_CSI1_VPH,,
X,X,PHY,MIPI_CSI1_D2_N,MIPI_CSI1_VPH,,
X,X,PHY,MIPI_CSI1_D2_P,MIPI_CSI1_VPH,,
X,X,PHY,MIPI_CSI1_D3_N,MIPI_CSI1_VPH,,
X,X,PHY,MIPI_CSI1_D3_P,MIPI_CSI1_VPH,,
X,X,PHY,MIPI_DSICSI1_CLK_N,MIPI_DSICSI1_VPH,,
X,X,PHY,MIPI_DSICSI1_CLK_P,MIPI_DSICSI1_VPH,,
X,X,PHY,MIPI_DSICSI1_D0_N,MIPI_DSICSI1_VPH,,
X,X,PHY,MIPI_DSICSI1_D0_P,MIPI_DSICSI1_VPH,,
X,X,PHY,MIPI_DSICSI1_D1_N,MIPI_DSICSI1_VPH,,
X,X,PHY,MIPI_DSICSI1_D1_P,MIPI_DSICSI1_VPH,,
X,X,PHY,MIPI_DSICSI1_D2_N,MIPI_DSICSI1_VPH,,
X,X,PHY,MIPI_DSICSI1_D2_P,MIPI_DSICSI1_VPH,,
X,X,PHY,MIPI_DSICSI1_D3_N,MIPI_DSICSI1_VPH,,
X,X,PHY,MIPI_DSICSI1_D3_P,MIPI_DSICSI1_VPH,,
X,X,PHY,MIPI_REXT,MIPI_DSICSI1_VPH,,
X,X,ANALOG,PCIE_REF_OUT_CLK_P,VDD_ANA_1P8,,
X,X,ANALOG,PCIE_REF_OUT_CLK_N,VDD_ANA_1P8,,
X,X,PHY,PCIE_RESREF,PCIE1_VPH,,
X,X,PHY,PCIE1_REF_PAD_CLK_P,PCIE1_VP,,
X,X,PHY,PCIE1_REF_PAD_CLK_N,PCIE1_VP,,
X,X,PHY,PCIE1_TX0_P,PCIE1_VPTX,,
X,X,PHY,PCIE1_TX0_N,PCIE1_VPTX,,
X,X,PHY,PCIE1_RX0_N,PCIE1_VP,,
X,X,PHY,PCIE1_RX0_P,PCIE1_VP,,
,X,PHY,PCIE2_REF_PAD_CLK_P,PCIE2_VP,,
,X,PHY,PCIE2_REF_PAD_CLK_N,PCIE2_VP,,
,X,PHY,PCIE2_TX0_P,PCIE2_VPTX,,
,X,PHY,PCIE2_TX0_N,PCIE2_VPTX,,
,X,PHY,PCIE2_RX0_N,PCIE2_VP,,
,X,PHY,PCIE2_RX0_P,PCIE2_VP,,
X,X,DDRCLK,DRAM_DQS0_T_A,VDDQ_DDR,,
X,X,,DRAM_DQS0_C_A,VDDQ_DDR,,
X,X,DDR,DRAM_DMI0_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ00_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ01_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ02_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ03_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ04_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ05_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ06_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ07_A,VDDQ_DDR,,
X,X,DDRCLK,DRAM_DQS1_T_A,VDDQ_DDR,,
X,X,,DRAM_DQS1_C_A,VDDQ_DDR,,
X,X,DDR,DRAM_DMI1_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ08_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ09_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ10_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ11_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ12_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ13_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ14_A,VDDQ_DDR,,
X,X,DDR,DRAM_DQ15_A,VDDQ_DDR,,
X,X,DDR,DRAM_RESET_N,VDD2H_DDR,,
X,X,DDR,DRAM_DTO,VDD2H_DDR,,
X,X,DDR,DRAM_LP4CKE_LP5CS0_A,VDD2H_DDR,,
X,X,DDR,DRAM_LP4CKE_LP5CS1_A,VDD2H_DDR,,
X,X,DDR,DRAM_CA6_A,VDDQ_DDR,,
X,X,DDR,DRAM_CA7_A,VDDQ_DDR,,
X,X,DDR,DRAM_CK_T_A,VDDQ_DDR,,
X,X,DDR,DRAM_CK_C_A,VDDQ_DDR,,
